Term;Anzahl
#EUelections2019[AMPLIFICATION(SENTIMENT)];27
#MTVBRFANDOMBTSARM[AMPLIFICATION(SENTIMENT)];26
#CNEWS[AMPLIFICATION(SENTIMENT)];24
#auspol[AMPLIFICATION(SENTIMENT)];24
#KAG_CAMP[AMPLIFICATION(SENTIMENT)];18
#deepfake[AMPLIFICATION(SENTIMENT)];14
#MAGA[AMPLIFICATION(SENTIMENT)];13
#disinformation[AMPLIFICATION(SENTIMENT)];11
#fake[AMPLIFICATION(SENTIMENT)];10
#kpop[AMPLIFICATION(SENTIMENT)];9
#RN[AMPLIFICATION(SENTIMENT)];9
#KPOPTV[AMPLIFICATION(SENTIMENT)];9
#friends[AMPLIFICATION(SENTIMENT)];9
#BTSonGMA[AMPLIFICATION(SENTIMENT)];9
#cdnpoli[AMPLIFICATION(SENTIMENT)];8
